/Users/jel/anaconda/bin/python /Users/jel/Documents/Personal/PycharmProjects/Project2/project_2_lenet.py
Loading training_file="./train.p"
Loading testing_file="./test.p"
num_train=37248, num_valid=1961, num_test=12630, num_classes=43
BATCH_SIZE=64, EPOCHS=1000, steps_per_epoch=582, image_shape=1024
Epoch 137: Validation loss=0.2051, Validation accuracy=0.9781
Epoch 138: Validation loss=0.1920, Validation accuracy=0.9807
Epoch 139: Validation loss=0.1929, Validation accuracy=0.9818
Epoch 140: Validation loss=0.1959, Validation accuracy=0.9818
Epoch 141: Validation loss=0.1979, Validation accuracy=0.9823
Epoch 142: Validation loss=0.2000, Validation accuracy=0.9823
Epoch 143: Validation loss=0.2034, Validation accuracy=0.9823
Epoch 144: Validation loss=0.2249, Validation accuracy=0.9745
Epoch 145: Validation loss=0.2635, Validation accuracy=0.9740
Epoch 146: Validation loss=0.2375, Validation accuracy=0.9781
Epoch 147: Validation loss=0.2308, Validation accuracy=0.9786
Epoch 148: Validation loss=0.2313, Validation accuracy=0.9781
Epoch 149: Validation loss=0.2321, Validation accuracy=0.9776
Epoch 150: Validation loss=0.2325, Validation accuracy=0.9786
Epoch 151: Validation loss=0.2324, Validation accuracy=0.9792
Epoch 152: Validation loss=0.2332, Validation accuracy=0.9792
Epoch 153: Validation loss=0.2318, Validation accuracy=0.9797
Epoch 154: Validation loss=0.2279, Validation accuracy=0.9802
Epoch 155: Validation loss=0.2334, Validation accuracy=0.9771
Epoch 156: Validation loss=0.2073, Validation accuracy=0.9792
Epoch 157: Validation loss=0.1999, Validation accuracy=0.9792
Epoch 158: Validation loss=0.2819, Validation accuracy=0.9750
Epoch 159: Validation loss=0.2364, Validation accuracy=0.9781
Epoch 160: Validation loss=0.2253, Validation accuracy=0.9797
Epoch 161: Validation loss=0.2248, Validation accuracy=0.9797
Epoch 162: Validation loss=0.2255, Validation accuracy=0.9797
Epoch 163: Validation loss=0.2256, Validation accuracy=0.9797
